Database???Annual
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Total Value of Imports United Arab Emirates(USD 10000),,4541667,2857327,1705482,1533674,1623777,1231116,999436,1151403,1576336,1282353,1085197,830637,445155,259508,461325,301203,279675,204560,130448
Total Value of Imports Republic of Yemen(USD 10000),,63327,48617,67402,86663,71993,65996,16603,89814,293285,306130,360406,313570,277908,123751,320987,174529,223255,266769,145855
Total Value of Imports Vietnam(USD 10000),,8794254,9231942,7847443,6411667,6395635,5037462,3717160,2983175,1990640,1689189,1623129,1111770,698454,474753,433632,322628,248608,255284,248199
Total Value of Imports P. R. China(USD 10000),,12112566,15691161,12526628,12979220,14622157,13236937,12802993,14336931,14488044,15754044,,12261441,10687906,8641218,9246120,8577298,7333283,5516291,3865454
Total Value of Imports Taiwan China(USD 10000),,23693714,24981428,20049793,17301276,17759987,15596059,13884723,14320422,15200713,15640491,13220364,12490866,11573865,8572025,10333793,10102707,8709863,7468033,6475932
Total Value of Imports Timor Leste(USD 10000),,14536,11315,121,2456,301,157,29,73,10,40,69,174,25,2,11,5,1096,0,0
Total Value of Imports Kazakhstan(USD 10000),,1484088,1129056,980510,927367,852661,637869,480508,584895,974182,1605084,1468084,1539470,1112845,629568,772783,643191,360727,290936,228627
Total Value of Imports Kirghizia(USD 10000),,8166,7974,3480,6604,5433,8706,7124,5857,5542,6235,8895,9816,7212,4921,12133,11369,11292,10505,10955
Total Value of Imports Tadzhikistan(USD 10000),,37378,17547,4529,8462,7684,4674,3125,5204,4770,8875,10883,7223,5606,18502,2024,1028,1800,1420,1537
Total Value of Imports Turkmenistan(USD 10000),,1031356,684446,607188,868602,811937,657513,556330,782766,951616,889326,867338,469317,104452,3873,2844,5014,1601,1908,1389
Total Value of Imports Uzbekistan(USD 10000),,227641,215541,148331,218078,232446,147145,160706,126706,159791,193809,109185,80737,130224,35089,32888,36345,56594,45050,40307
Total Value of Imports Other Countries (Regions) in Asia(USD 10000),,,2.0,2.7,6.7,0.3,71.2,0.2,,0.4,3.9,,,,2.0,16.9,12.0,,11.0,0.0
Data Sources£ºNational Bureau of Statistics
