"EDUCATION, SCIENCE AND TECHNOLOGY, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,33
CULTURE AND MASS COMMUNICATION,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Table 17. Summary of R&D personnel,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,"Persons, Person-years"
Year,,R&D personnel,,,,,,,R&D personnel indicators,,
,,Total,Researchers,,　Technicians,,　Supporting staff,,"Resear-chers per 1,000
population","Resear-chers per 1,000 labor
force","Annual R&D expenditure per researcher
(Million NT$)"
,,,,Female,,Female,,Female,,,
,,,,,,,,,,,
1999,,134845,67165,13307,51754,11633,15926,8025,3,7,2.84
2001,,138409,73239,13334,48886,11830,16283,9096,3.3,7.4,2.8
2006,,212483,126168,25820,67715,17828,18600,10889,5.5,12,2.43
2009,,256251.747540899,154948.673351574,31856.755464638998,80433.413516235,22479.067938798,20869.660673090002,11689.123213486,6.701932238389879,14.193338220351194,2.368867930404019
2010,,273248.8335997,165369.747235933,34580.325317793,86882.01713038,23772.995776966003,20997.069233387,12323.723906773,7.139700683703177,14.938549885811472,2.3939046877226997
2007,,,,,,,,,,,
2011,,288310.98969845875,174340.85652355634,37544.105679071305,91618.22838561481,25028.398733752365,22351.90478928761,13453.012873220277,7.506603079593384,15.56614790388896,2.382440423382339
2012,,296287.54513442045,179490.6429571751,39037.78930215664,94863.21228474125,25988.586062746486,21933.68989250406,12501.212954183775,7.6981747708515655,15.826703373351124,2.417936673079626
2013,,300513.83375732193,179974.82543287947,39481.88572871872,98356.09608046249,26506.874239079247,22182.912243979998,13147.087998999239,7.699787175189504,15.725192261501046,2.5472072539127177
2014,,307378.76531345915,181588.88828349346,40066.403472032514,103407.90549444372,27328.5998091934,22381.971535521992,12876.550438062133,7.748949743257381,15.742426379149846,2.6683411938873256
