"EDUCATION, SCIENCE AND TECHNOLOGY, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,33
2015,,312922.8026975696,183021.7975957113,40574.34463744485,106821.7028821104,28018.77289941666,23079.302219747904,13070.254560060517,7.790813791746608,15.726224230599012,2.795395561067768
2016,,316466.63625267625,184898.0608071477,41299.84688070203,108754.95904475948,29016.025211991713,22813.616400769093,12886.074223147145,7.854632999454023,15.76686798048501,2.9300305988072615
2017,,321876.70004563505,187970.75793130219,42393.19684359561,110427.50626594608,29976.9012325422,23478.435848386765,13524.55472517848,7.996001778936074,15.936477993327866,3.056335291454048
2018,,330578.66739238467,193034.66578427685,43653.89235504443,114145.13182519557,31667.735011422013,23398.869782912265,13341.506546750366,8.183249217189234,16.256919806659663,3.1910637897914076
2019,,342476.1281163706,199144.0585373519,45114.62087530116,118972.50732397099,32701.90232174518,24359.562255047676,13707.783072815197,8.437235035264665,16.67035480808236,3.318131823212684
2020,,350857,203970,46672,121539,33152,25348,14244,8.7,17,3.52
,,,,,,,,,,,
Year,,Researchers (Full time equivalent),,,,,,,,,
,,By field of science and technology,,,,,,,By qualification,,
,,Total,Natural sciences,"Engi-neering &
techno-logy",Medical sciences,Agricul-tural sciences,Humanities,Social sciences,Ph.D.,Master,Bachelor
,,,,,,,,,,,
1999,,54844,7962,35172,4189,2949,2046,2526,11614,20435,22795
2001,,59656,8692,38874,4433,3037,1588,3033,12797,24825,22034
2006,,95176,15327,62759,6611,3239,2058,5182,16792,49545,28839
2009,,119319.5060991383,19948.33087994514,78496.55214018558,8153.45465207689,3271.142686368814,2903.930501632353,6546.095238929547,20967.769879845382,63836.521531246806,34515.21468804615
2010,,128135.21181256467,21208.840622598,84900.41986046874,8827.832223733518,3582.7000852205815,2983.678538090407,6631.7404824534215,22451.178853568126,68289.5543522509,37394.478606745564
2007,,,,,,,,,,,
2011,,134503.17140302775,22040.041357354086,89921.69051667358,9063.091270124045,3529.557046938752,3203.5992514548943,6745.1919604823925,23813.370199709425,71070.78188050343,39619.01932281481
2012,,139763.34830369594,22943.589074167176,93485.65287319545,9541.435207132357,3496.0084798425755,3187.2350915652783,7109.427577793115,24978.11398524282,73858.11595921805,40927.118359235144
2013,,140781.1204561806,23496.897898746553,93973.33447283592,9557.74654103597,3546.167023625919,3169.3288033605695,7037.6457165756365,25926.207870643233,75238.54909581067,39616.36348972654
2014,,142458.3108494407,23725.33002379721,95368.69118357498,9877.233593216388,3379.6503657752887,3202.662356422459,6904.743326654373,26076.820593866516,76899.58790346862,39481.90235210542
2015,,144836.48503919574,24035.445883238874,97297.53145016164,10233.630573544448,3204.35678793969,3229.8379039276656,6835.682440383433,26660.883779949065,79197.8239284227,38977.7773308238
2016,,147140.93040906475,24162.246232860325,99600.05444051376,10337.975134891269,3124.792146112322,3122.241405174567,6793.621049512461,26884.07948233537,81447.22387097734,38809.627055751924
2017,,149886.0314341125,24494.18859884299,101660.2106004346,10598.208251275531,3036.6089700924304,3114.889830953896,6981.925182513027,27061.22900996299,83444.88309043161,39379.919333717975
2018,,153998.38924473908,24617.36234058969,105135.64174616772,11109.130531639898,3151.891178640249,3045.2499954540294,6939.1134522474895,27096.171510281205,85892.10422173682,41010.11351272093
2019,,159160.25446049534,25341.178574591388,109408.6658994878,11581.659605625477,3219.9380686752434,3060.329826053332,6548.482486062084,27348.746397733095,88864.05456067981,42947.45350208259
2020,,163536,26112,112328,12190,3277,2994,6636,27870,91256,44410
,,,,,,,,,,,
Business enterprise,,118174,17606,94615,3600,595,236,1522,7443,70269,40462
Government,,16144,3029,8068,2637,1430,318,661,5511,8853,1779
Higher education,,28996,5464,9601,5870,1193,2437,4431,14820,12040,2135
Private non-profit,,223,13,43,84,60,2,21,95,94,34
,,,,,,,,,,,
,,,,,,,,,,,
Note: R&D personnel do not include the personnel of defense from 1999 to 2001 and include the students of Ph. D. program from 2002.  ,,,,,,,,,,,
Source: Ministry of Science and Technology ,,,,,,,,,,,
