134,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,STATISTICAL  YEARBOOK OF
,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,Edited 2022
,,,,,,,,,,
Table 76. Cross-strait postal delivery and number of telephone incoming and outgoing volume,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,"Pieces, Calls, Minutes"
Year,,Correspondence,,,Telephone,,,,,
,,Total,From Taiwan to Mainland,From Mainland to Taiwan,Incoming,,,Outgoing,,
,,,,,Calls,Minutes,,Calls,Minutes,
,,,,,,,,,,
1989,,10681100,4553936,6127164,767606,2938639,,730351,3074102,
1991,,15197609,6109466,9088143,8025958,26257083,,8719209,26989763,
2001,,12630660,5004283,7626377,114970716,321953043,,154668202,509835107,
2006,,12486723,5985106,6501617,358902498,875980140,,350297538,1505975668,
2011,,8575531,3597429,4978102,171584037,470973044,,393344578,1364127550,
,,,,,,,,,,
2012,,8479704,4030086,4449618,167278555,321077486,,366139852,1186399743.65,
2013,,8582875,4181431,4401444,150690749,353651437.15,,275674467,873445344.3666667,
2014,,8692880,4643922,4048958,161446245,310080037.7,,286519406,794238649,
2015,,7719788,4248171,3471617,125738404,247510227.49999997,,212922279,616522122.2666667,
2016,,6851716,3699181,3152535,71952515,181607130.29999998,,169657521,427881509,
2017,,6203437,3245651,2957786,63494475,153076378.7,,77095260,256130803,
2018,,5019817,2976347,2043470,48738692,120017680.00000001,,51490736,173182518,
2019,,4465869,2912190,1553679,37599903,98089131.80000001,,35337764,116327956,
2020,,3249498,2187251,1062247,16393916,37667956.9,,32321280,80932517,
2021,,3127020,2054532,1072488,12133725,25849193.9,,21806803,56065499,
,,,,,,,,,,
,,,,,,,,,,
"Note: The Ordinary Correspondence Posted to Mainland is operated from Apr. 18, 1988, and the Ordinary Correspondence Delivered from Mainland is operated",,,,,,,,,,
"　　   from Mar. 19, 1988. Besides, the Registered Correspondence between Taiwan and Mainland are posted and delivered from June 1, 1993.",,,,,,,,,,
Source: 1. Ministry of Transportation and Communications,,,,,,,,,,
　　　　2. National Communications Commission,,,,,,,,,,
