124,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,STATISTICAL  YEARBOOK OF
,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,Edited 2022
,,,,,,,,
Table 70. Transport on railway and mass rapid transit,,,,,,,,
,,,,,,,,
,,,,,,,,
Year,,Passenger traffic volume,,,,,,
,,"No. of passengers
(1,000 Person-times)",,,,,"Passenger-kilometers
(1,000 Passenger-kms)",
,,,Taiwan Railways Administration,Taipei Rapid Transit Corp.,Taiwan High Speed Rail,Kaohsiung Rapid Transit Corp.,,Taiwan Railways Administration
,,,,,,,,
1952,,32493.05,64937.362,0,0,0,1933935.532,1749772
1981,,131667,130737,0,0,0,7981908,7946881
1991,,137785,137123.711,0,0,0,8621006,8611316
2001,,476214,186078.618,289643,0,0,12268691,10036882
2011,,864491,205829,566404,41629,49637,22825848,9719605
,,,,,,,,
2012,,925243,220297,602199,44526,56480,24207701,10185549
2013,,972332,227287,634961,47487,60706,25322755,10513137
2014,,1024083,232826,679506,48025,61308,26339952,11037421
2015,,1062853,232217,717512,50562,60203,27110886,11114977
2016,,1092127,230365,739990,56586,63103,27949684,10967847
2017,,1122946,232806,746067,60571,64321,29003962,11016324
2018,,1153529,231268,765470,63963,68085,29624218,10864841
2019,,1194660,236151,789599,67411,68739,30455602,11045601
2020,,1030674,203521,695651,57239,50890,25566403,9314224
2021,,792383,154927,531120,43460,40453,19539931,7030030
,,,,,,,,
Year,,Passenger traffic volume,,,Freight traffic volume (1),,,
,,"Passenger-kilometers (1,000 Passenger-kms)",,,"Freight tonnage
(1,000 MTs)",,"Ton-kilometers
(1,000 Ton-kms)",
,,Taipei Rapid Transit Corp.,Taiwan High Speed Rail,Kaohsiung Rapid Transit Corp.,,Taiwan Railways Administration,,Taiwan Railways Administration
,,,,,,,,
1952,,0,0,0,17089,8231,1253832,1158549
1981,,0,0,0,31723,16906,2527131,2392595
1991,,0,0,0,26256.065,16417.066,1961141.606,1903945.084
2001,,2223486.596,0,0,19287.081,12371.444,1009862.573,984632.719
2011,,4607794,8147869,346198,14451,10661,853362,847707
,,,,,,,,
2012,,4973667,8641573,400730,13905,10873,833102,828475
2013,,5232349,9118060,452085,11167,10659,729178,727279
2014,,5589414,9235162,465106,11223,11012,683452,681421
2015,,5880980,9654961,446870,11117,10910,636213,634220
2016,,6016179,10488340,464232,9387,9215,563955,562276
2017,,6039704,11103359,481384,7971,7764,514520,512372
2018,,6201186,11558787,536466,7878,7720,544016,542497
2019,,6361118,11994453,500240,7479,7313,518207,516578
2020,,5656505,9912062,377114,7506,7255,497029,494951
2021,,4373449,7568788,321911,6835,6609,447135,444969
,,,,,,,,
,,,,,,,,
Note: (1) Excluding the data baggages and package,,,,,,,,
Source: Ministry of Transportation and Communications,,,,,,,,
