88,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,,,
Table 48. Approved Mainland China investment,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10 Thousand US$
Year,,Total, By industry,,,,,,,,,,,
,,,"Agricul-
ture, forestry, fishing & animal husbandry",Mining & quarry-ing,Manufac-turing,Electri-city & gas supply,"Water supply & 
remedi-ation services",Con-struction,Whole-sale & retail trade,Transpor-tation & storage,"Accommo-dation 
& food services","Informa-tion & 
communi-cation",Financial & insu-rance,Real estate
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1991,,17415.8,0,90,17305.8,0,0,0,20,0,0,0,0,0
1996,,122924.1,710,735.5,111590.5,600,0,63.4,3028.5,1644,667.8,1120,1179.9,487.6
2001,,278414.7,1038.9,110,251395.9,741.8,0,2259.1,11721.1,1651.2,149.5,5507.7,316.2,35
2006,,764233.5414,896,115,664929.10445,4625.56287,420,1473.05,31277.758049999997,10478.141740000001,1641.0394000000001,8116.620269999999,8443.4,1780.266
2011,,1437662.4483999999,447.75200000000007,1362.393,1037539.1136800001,150,4700.50605,6147.32518,123272.04082,9426.53441,6017.2996,28253.16929,125582.7977,41359.82634
,,,,,,,,,,,,,,
2012,,1279207.71156,923.4444,810,751880.26674,0,1150.6404200000002,5340.15868,127178.81247,6331.043299999999,17179.88254,11863.61413,172572.0999,133799.56326
2013,,919009.0319399999,222.46999999999997,3175.2,512052.30763,0,2155.4,3552.00942,103594.02432,2490.4322899999997,7813.20319,22287.72882,190096.61351,28931.694679999997
2014,,1027656.96558,269.34085,1791.1278300000001,657915.77202,1370.5153,909.9905000000001,4318.1241,109557.45687,1880.74808,3777.5628100000004,11326.74638,165895.41053,32529.65407
2015,,1096548.53455,220,2153.93048,648557.46301,2495.903,814.50655,1184.78586,67994.16068,4227.84811,1447.4445,11646.76396,278589.16046000004,31952.8331
2016,,967073.1597200001,800,920.9652,711221.93383,2930,4604.5479,6790.36798,53511.16838999999,7197.37209,2442.44594,4933.54986,136290.72302,9363.223399999999
2017,,924886.21428,1681.47244,2270.3152999999998,643555.57411,0,5544,963.38673,105986.66218999999,3780.1101000000003,2249.8,6406.08836,107351.52591,14867.75007
2018,,849772.95187,2603.74253,0,597553.0880199999,1500,0,5796.60807,118891.85303,15842.546849999999,8479.76502,4710.59199,58904.28402,7946.9
2019,,417308.98008,5238.9623,0,240805.80666,894.8642,260.181,2875.81414,100887.23209,14675.15016,660.5896399999999,4529.31856,23687.105300000003,3731.7624499999997
2020,,590648.90679,8100.77966,8.4224,334141.27772,0.359,6577.79653,5409.096530000001,140772.93157,20722.29904,3097.34861,1772.7540000000001,51659.39289,1526.48538
2021,,586317.2786600001,7100,700,449634.54081,3712.3848,1010,3874.1412900000005,59823.65916,1870,853.12788,3454.24088,32729.08169,1574.5926
,,,,,,,,,,,,,,
Year,, By industry,,,,,By area,,,,,,,
,,"Professio-nal, scientific & technical services",Support services,Human health & social work services,"Arts, entertain-ment & recre-ation",Others ,Kiangsu,Canton,Chekiang,Fukien,Shanghai,Beijing,Tientsin,Others
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1991,,0,0,0,0,0,326,7332.5,19.3,5596.1,2113.8,597.5,99,1331.6000000000004
1996,,300.8,0,0,796.1,0,29814.8,30450.4,3275.4,11088.4,24384.3,1886.4,9620.4,12404.000000000007
2001,,671.3,106.4,0,196.6,2513.9999999999955,104634.6,78797,20848.5,12012.2,37624.5,8691.8,3697,12109.10000000002
2006,,12367.201,3626,1906,4818.92512,7319.472500000011,288724.67102,141518.15213,59099.723549999995,51993.93817,104179.43681,16398.9366,11330.73125,90987.95187000002
2011,,17528.97728,10320.22762,8456.3945,1561.9544,15536.136529999809,442588.51699000003,220506.54456,72446.49796,92340.65534,217585.93287999998,15415.59389,21186.96374,355591.7430399999
,,,,,,,,,,,,,,
2012,,27498.70696,2341.0933,7268.35,5461.7738,7608.2616600000665,345600.85855999996,141427.31156,100398.24123,110586.33798,214770.35107,13210.367300000002,35414.7022,317799.54166
2013,,16338.53847,11504.5244,6126.3579,1782.01531,6886.511999999871,231093.17815999998,147852.90179,42575.79353,57363.090079999994,239284.75482,17621.625829999997,12678.18647,170539.50125999984
2014,,20993.65941,9784.71695,1111.4,783.3334,3441.4064799998373,245788.05271000002,116102.5348,46333.19032,189139.91573,135267.39623,13923.004990000001,9570.9763,271531.89449999994
2015,,26399.496120000003,6127.53563,1582.01705,4937.70244,6216.983599999855,228866.33251,146972.64764,65932.19855,85039.99309,128689.49209,142820.05131,15153.452309999999,283074.3670500001
2016,,6856.7940499999995,2635.52711,7203.29608,3757.9222600000003,5613.322610000151,288512.87172,98687.33762,33772.17063,99089.90112,110628.29983,48387.052039999995,5232.61885,282762.9079100001
2017,,14159.980720000001,2574.5901999999996,4948.59333,524.50545,8021.85936999985,232509.65946999998,111176.22691,67641.31022,101026.18521,103793.92887999999,31800.939870000002,6175.10053,270762.86318999995
2018,,14441.829740000001,8565.751119999999,1181.6903,922.63291,2431.668270000042,219304.01042,129743.24951,118954.78436,97672.82338,96376.63016,17894.01896,8379.15005,161448.28502999997
2019,,14754.693109999998,973.42425,787.4413999999999,553.15729,1993.4775299999683,143406.82742000002,43485.04027,38685.11105,40599.75207,55262.904200000004,6111.42015,17381.216510000002,72376.70840999998
2020,,11525.17592,4139.24539,362.20943,387.46750000000003,445.8652199999993,208600.22474,36190.42039,41099.23131,145272.40909,80252.76078,15405.049369999999,2811.29864,61017.51246999997
2021,,14738.131010000001,4382.93149,0,89.96414999999999,770.4829000000925,266993.56549,63241.56596,36961.187939999996,45901.24462,36462.20811,5601.94645,2832.10336,128323.45673000006
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note: The Standard Industrial Classification is the 8th Amendment.,,,,,,,,,,,,,,
"Source: Investment Commission, MOEA",,,,,,,,,,,,,,
