78,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,STATISTICAL  YEARBOOK OF
,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,Edited 2022
,,,,,,,
Table 39. General situation of national income ,,,,,,,
,,,,,,,
,,,,,,,
Year,,Gross domestic product (GDP),,,,,"Gross national income (GNI)
(At current prices)"
,,At current prices,,,Chained (2016) dollars,,
,,"Amount
(Million NT$)",Annual rate of increase (％),"Amount
(Million US$)","Chained dollars
(Million NT$)",Economic growth rate (％),"Amount
(Million NT$)"
,,,,,,,
1951,,12327,0,1197,156918,0,12320
1981,,1804431,18.52,49047,2512595,7.1,1794778
1991,,5018019,12.15,187100,5592915,8.37,5153461
2001,,10119429,-2.02,299303,9724993,-1.4,10308613
2011,,14262201,1.44,483957,15436975,3.67,14634307
,,,,,,,
2012,,14677765,2.91,495536,15779909,2.22,15109951
2013,,15270728,4.04,512957,16171821,2.48,15673232
2014,,16258047,6.47,535332,16935007,4.72,16697152
2015,,17055080,4.9,534474,17183235,1.47,17494741
2016,,17555268,2.93,543002,17555268,2.17,18006409
2017,,17983347,2.44,590780,18136589,3.31,18430708
2018,,18375022,2.18,609251,18642014,2.79,18789823
2019,,18908632,2.9,611336,19213196,3.06,19384783
2020,,19798597,4.71,669324,19858578,3.36,20370436
2021,,21710598,9.66,774942,21163404,6.57,22169631
,,,,,,,
Year,,"Gross national income (GNI)
(At current prices)",,National income (NI),,,
,,,,At current prices,,Chained (2016) dollars,
,,Annual rate of increase (％),"Amount
(Million US$)","Amount
(Million NT$)","Amount
(Million US$)","Chained dollars
(Million NT$)",Annual rate of increase (％)
,,,,,,,
1951,,-,1196,12276,1192,168377,-
1981,,18.05,48784,1612497,43830,2414184,6.16
1991,,12.24,192150,4682161,174577,5785410,8.9
2001,,-1.5,304898,8979918,265599,9288056,-3.79
2011,,1.09,496583,12227309,414907,12339892,0.73
,,,,,,,
2012,,3.25,510127,12496672,421900,12667183,2.65
2013,,3.73,526477,13194356,443210,13193923,4.16
2014,,6.53,549791,14212193,467968,14127703,7.08
2015,,4.78,548253,14860645,465705,14950537,5.82
2016,,2.92,556957,15305453,473413,15305453,2.37
2017,,2.36,605477,15733800,516879,15765865,3.01
2018,,1.95,623005,15968442,529458,15864685,0.63
2019,,3.17,626731,16312542,527402,16198726,2.11
2020,,5.08,688656,17129993,579107,17250310,6.49
2021,,8.83,791308,18722948,668321,18263984,5.88
,,,,,,,
,,,,,,,
"Source: Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,
