92,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,STATISTICAL  YEARBOOK OF
,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,Edited 2022
,,,,,,,,
Table 51. Indices of wholesale price,,,,,,,,
,,,,,,,,
2016=100,,,,,,,,
Year,,"General 
index","Agriculture, forestry, fishing & animal husbandry products",,,,,Quarrying & mineral products
,,,,"Farm 
products",Poultry & livestock products,"Forest 
products","Fishery 
products",
,,,,,,,,
,,,,,,,,
Item,,1195,138,96,6,2,34,12
Weights (‰),,1000,28.26,16.17,7.16,0.16,4.78,50.59
1989,,87.74,50.64,51.92,72.22,27.3,41,29.45
1991,,87.35,46.54,52.05,50.55,28.05,40.88,31.24
2001,,89.95,55.42,60.38,52.03,52.74,52.32,51.84
2006,,104.91,65.29,69.55,65.47,82.91,57.8,120.24
2011,,117.92,95.24,95.97,92.57,94.74,95.88,200.52
,,,,,,,,
2012,,116.55,96.14,97.27,87.23,88.62,101.77,202.59
2013,,113.72,90.88,91.2,89.39,95.79,91.57,194.34
2014,,113.08,95.24,91.36,102.65,102.91,95.94,181.45
2015,,103.07,93.66,90.41,99.56,101.69,94.55,114.81
2016,,100,100,100,100,100,100,100
2017,,100.9,95.68,91.95,98.11,103.22,101.77,122.24
2018,,104.56,92.42,84.62,98.07,108.7,104.7,155.2
2019,,102.2,93.99,87.89,95.87,103.9,106.33,151.6
2020,,94.26,91.43,85.55,96.66,90.16,98.73,107.76
2021,,103.18,101.82,99.54,104.49,106.87,99.75,157.09
,,,,,,,,
Year,,Manufacturing products,,,,,,
,,,Food products & prepared animal feeds,Beverages,Tobaccos,"Textile 
products",Wearing apparel & clothing accessories,"Leather, fur & related products"
,,,,,,,,
,,,,,,,,
Item,,1036,68,14,3,39,8,7
Weights (‰),,889.78,27.94,5.66,3.47,15.07,3.93,3.25
1989,,96.57,61.96,77.3,43.89,70.94,73.12,52.24
1991,,96.58,59.83,76.3,43.88,78.61,75.63,53.48
2001,,96.85,64.75,77.03,45.74,81.83,96.92,73.31
2006,,108.41,75.05,95.51,66.66,84.7,87,75.4
2011,,115.54,100.33,98.58,80.84,105.56,88.05,85.67
,,,,,,,,
2012,,113.51,100.98,101.64,87.4,103.47,92.69,89.12
2013,,110.75,101.47,102.49,89.97,102.72,93.53,93.07
2014,,110.19,103.01,101.94,95.19,102.97,96.33,101.45
2015,,102.58,99.87,100.27,97.35,101.83,101.31,100.01
2016,,100,100,100,100,100,100,100
2017,,100.2,99.79,98.25,112.43,97.51,95.12,99.33
2018,,102.85,99.87,99.09,121.28,99.19,94.62,98.12
2019,,100.28,100.23,99.75,124.59,99.82,96.04,98.86
2020,,93.68,99.27,100.43,125.28,95.48,95.8,97.75
2021,,101.3,105.54,102.86,124.9,96.55,94.58,98.08
,,,,,,,,
,,,,,,,,
"Source: Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,,
