152,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,STATISTICAL  YEARBOOK OF
,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,Edited 2022
,,,,,,,,
Table 89. Number of financial institutions,,,,,,,,
,,,,,,,,
,,,,,,,,Numbers
End of year & District,,"Total
","Domestic banks
(1)"," Foreign banks
(2)",Credit co-operative associations,Credit departments of farmers' associations,Credit departments of  fishermen's associations,Bills finance companies
,,,,,,,,
,,,,,,,,
,,,,,,,,
2008,,5475,3426,168,298,1077,67,43
2009,,5461,3445,160,284,1086,67,42
2010,,5474,3504,117,287,1086,67,39
2011,,5508,3538,117,280,1092,68,38
,,,,,,,,
2012,,5534,3604,76,279,1094,68,38
2013,,5551,3632,64,281,1100,69,38
2014,,5564,3659,63,269,1101,69,38
2015,,5577,3654,64,276,1104,70,38
2016,,5593,3651,62,283,1105,71,38
2017,,5594,3646,61,290,1104,72,38
2018,,5582,3627,61,299,1100,71,38
2019,,5577,3630,61,307,1097,71,38
2020,,5573,3630,61,308,1093,71,38
2021,,5565,3638,62,310,1092,71,38
,,,,,,,,
OBU(OIU),,79,36,23,0,0,0,0
Overseas,,152,152,0,0,0,0,0
Domestic,,5334,3450,39,310,1092,71,38
New Taipei City ,,774,583,0,32,129,3,4
Taipei City ,,1152,986,30,17,21,0,11
Taoyuan City ,,392,271,0,15,75,1,5
Taichung City ,,576,397,4,31,102,0,5
Tainan City ,,405,230,0,14,123,9,3
Kaohsiung City ,,567,382,5,26,99,12,8
Yilan County,,110,41,0,11,45,5,0
Hsinchu County,,98,58,0,7,32,0,0
Miaoli County,,106,47,0,2,47,4,0
Changhua County,,242,98,0,51,72,8,0
Nantou County,,107,36,0,0,64,0,0
Yunlin County,,129,47,0,0,70,5,0
Chiayi County,,122,19,0,1,92,8,0
Pingtung County,,111,53,0,0,41,9,0
Taitung County,,47,15,0,2,26,1,0
Hualien County,,80,22,0,20,28,0,0
Penghu County,,35,5,0,18,6,3,0
Keelung City ,,62,26,0,27,4,1,0
Hsinchu City ,,133,83,0,22,9,1,2
Chiayi City ,,72,43,0,10,6,0,0
"Kinmen & 
Lienchiang Area",,14,8,0,4,1,1,0
,,,,,,,,
,,,,,,,,
"Note: Data in the table do not include Central Bank, Central Deposit Insurance Corporation and credit card companies.",,,,,,,,
"　　 (1) Including the Department of Savings & Remittances, Chunghwa Post Co. ",,,,,,,,
　　 (2) Including local brances of Mainland Chinese Banks,,,,,,,,
Source: Central Bank,,,,,,,,
