60,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,STATISTICAL  YEARBOOK OF
,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,Edited 2022
,,,,,,,,,,
Table 30. Fire fighting,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year & Agency,,The equipment of fire fighting (1),,,,,Inspection of fire safety (3),,Fires accidents (4),
,,"No. of firemen
(2)
(Persons)","No. of firemen per 10,000 population
(Persons)","No. of fire engines
(Vehicles)","No. of fire engines per 10,000 population
(Vehicles)","Hydrant
(Sets)","Cases
(Cases)","Qualified rate
(%)","No. of fires
(5)
(Times)
","Average no. of fires a day
(5)
(Times)
"
,,,,,,,,,,
,,,,,,,,,,
1981,,17501,9.650129458739176,1060,0.584488727859181,32356,-,-,9260,25.36986301369863
1991,,22065,10.708134022840428,1425,0.6931998601730752,62061,-,-,7742,21.21095890410959
2001,,34679,15.477849077515017,1956,0.87,102254,347355,93.10301693547976,13750,37.67123287671233
2006,,41074,17.95464844816698,2110,0.92,121146,287416,90.45321067720656,4332,11.868493150684932
2011,,45366,19.559775700257624,2191,0.94,137661,327519,85.36848243918674,1772,4.854794520547945
,,,,,,,,,,
2012,,46618,20.03320360181685,2307,0.99,140061,317605,86.08932479022685,1574,4.300546448087432
2013,,48302,20.690804810922682,2336,1,141384,335436,86.8630677685162,1451,3.9753424657534246
2014,,48958,20.918972629679107,2374,1.01,149283,325367,86.02531910119957,1417,3.882191780821918
2015,,50556,21.54719617408128,2382,1.01,151158,317309,85.28595154880574,1704,4.668493150684932
2016,,52186,22.191751171386052,2448,1.03,154798,294264,85.64724193241443,1856,5.0710382513661205
2017,,55572,23.591920900583755,2532,1.08,159302,298220,86.89893367312722,30464,83.46301369863014
2018,,58321,24.73316512779357,2535,1.07,160100,290527,88.28439353313117,27922,76.4986301369863
2019,,59259,25.113974168489765,2564,1.09,165238,313890,86.55930421485235,22866,62.64657534246575
2020,,63082,26.749861129242156,2569,1.09,169038,313959,86.65016769705598,22248,60.78688524590164
2021,,63527,27.06930952530597,2634,1.13,170892,267624,87.58855708008251,21684,59.40821917808219
New Taipei City ,,9497,23.62711991329342,284,0.71,21450,66195,88.49006722562127,2025,5.5479452054794525
Taipei City ,,3705,14.453429237005226,244,0.97,21430,52088,92.72001228689909,1637,4.484931506849315
Taoyuan City ,,4321,19.030220659834697,236,1.04,16674,22438,83.67947232373652,966,2.6465753424657534
Taichung City ,,6153,21.841311671399897,233,0.83,20312,20591,74.4839978631441,2606,7.13972602739726
Tainan City ,,4616,24.70446692726954,212,1.14,14854,13285,81.64094843808807,1722,4.717808219178083
Kaohsiung City ,,5194,18.850863141971423,246,0.9,17688,20098,89.80495571698677,2867,7.854794520547945
Yilan County,,1568,34.69874825593425,74,1.64,7136,5063,93.50187635789058,372,1.0191780821917809
Hsinchu County,,1745,30.444321348971304,71,1.23,4990,7966,89.31709766507657,219,0.6
Miaoli County,,1369,25.33383667910227,102,1.9,4862,3048,86.51574803149606,1323,3.6246575342465754
Changhua County,,4268,33.84615384615385,141,1.12,7364,11679,85.14427605103177,1401,3.8383561643835615
Nantou County,,2860,58.62283482401364,93,1.92,3082,3953,83.22792815583101,1298,3.5561643835616437
Yunlin County,,2468,36.644258929996546,80,1.19,7087,10438,90.10346809733666,800,2.191780821917808
Chiayi County,,2465,49.65768430001299,72,1.46,3916,4538,90.01762891141472,1542,4.2246575342465755
Pingtung County,,2625,32.465564857541096,122,1.52,5224,4620,84.11255411255412,1188,3.254794520547945
Taitung County,,1749,81.60561021073283,66,3.09,2239,1523,84.30728824688116,246,0.673972602739726
Hualien County,,1541,47.728926950892784,75,2.33,4494,3588,86.98439241917502,419,1.1479452054794521
Penghu County,,677,63.78007649840785,25,2.35,867,1741,90.52268811028145,123,0.336986301369863
Keelung City ,,1344,36.743699029736696,42,1.15,1746,4599,92.08523592085236,133,0.3643835616438356
Hsinchu City ,,2788,61.67786808723392,87,1.92,2498,4092,87.12121212121212,299,0.8191780821917808
Chiayi City ,,1015,38.24905978912144,35,1.32,1876,4401,95.77368779822768,90,0.2465753424657534
Kinmen County,,437,30.977968072135425,29,2.05,287,725,89.93103448275862,308,0.8438356164383561
Lienchiang County,,264,196.1075620264448,20,14.66,154,242,83.88429752066115,17,0.04657534246575343
"Affiliation with the 
 NFA",,858,-,45,-,662,713,81.4866760168303,39,0.10684931506849316
,,,,,,,,,,
,,,,,,,,,,
"Note: In the table, the data excluding inspection of fire safety do not include Kinmen County and Lienchiang County before 1997.",,,,,,,,,,
　　 (1) The data is end of year.,,,,,,,,,,
　　 (2) Including voluntary fire fighters,,,,,,,,,,
"　　 (3) It was executed after implementing ""Maintaining Public Safety Projects"" in June, 1993.",,,,,,,,,,
"　　 (4) The figures of total of year include Airport of Civil Aeronautics Administration, MOTC., Science Parks of NSC., Barracks of MND., State-owned Enterprise",,,,,,,,,,
"　　       of MOEA., National Parks of Construction and Planning Agency, MOI.",,,,,,,,,,
"　　 (5) According to the new system of fire statistics in 2017, the range of fire statistics was enlarged.",,,,,,,,,,
"Source: National Fire Agency, MOI",,,,,,,,,,
