INDUSTRY    ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,119
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 67. Composition of energy supply,,,,,,,,,
,,,,,,,,,
,,,,,,,,,％
Year,,"Quantity of energy supply
(103 KLOE)",By energy form,,,,,,
,,,"Coal and coal
products","Crude oil
and petroleum
products",Natural gas,"Biomass
and waste","Conventional
hydro
power","Nuclear
power",Others
,,,,,,,,,
,,,,,,,,,
1989,,52278.738335,23.8178184814069,57.0912857283284,2.41881181580355,0.0875204958214683,0.888941634402203,15.6612370549856,0.03438478925181969
1991,,58394.066463,22.8104312574975,53.8506984111558,5.0474380763798194,0.116202126534542,0.630603914583211,17.4990719296363,0.045554284212857614
2001,,106489.31176247947,30.513498747730605,51.63120351314586,6.539777556872961,1.132348214500628,0.45676531233108403,9.649128708456463,0.07727797754259355
2006,,136759.56594997575,30.13828280101185,52.11643008770353,7.733241607180165,1.1904991759662948,0.2856579911854685,8.441620928351304,0.09425962839014423
2011,,138837.88597587784,31.692670461177258,46.1019236480577,11.710159452114263,1.2477764030746314,0.2752822725553645,8.78367155040322,0.1885415358634528
,,,,,,,,,
2012,,141610.98426389814,30.036779363634164,47.82039037809345,12.066331328994915,1.2421013215109593,0.38256761198957884,8.26513316717298,0.1866963115466217
2013,,144069.6356853923,30.571276347385872,47.431003477327884,11.83637299541048,1.2244830279438896,0.3596783163512972,8.368805793405826,0.2083795623459509
2014,,148531.97542941975,29.58338814222234,48.368097743402146,12.136333797875395,1.1648276739511625,0.2777824055687768,8.26351576491889,0.2060538202486389
2015,,146131.62645627809,29.684598339676242,48.17682266454983,13.19357284542885,1.1930439436405107,0.2923031151758852,7.226646170414243,0.2330121374894908
2016,,146628.4354708462,29.35119038268315,48.914872117259634,13.660380485854029,1.1498749901173075,0.42763837570176993,6.252350308349083,0.24369248992888692
2017,,146572.449032909,30.187720360099853,48.466819104593164,15.15151737684019,1.1065324708816229,0.35509634751558344,4.434140374548905,0.29817442293159263
2018,,148628.26255151012,29.439361534854015,48.17726939505381,15.210039371831183,1.1383873444926433,0.28812841922640253,5.3922510620303825,0.35453394812378236
2019,,148400.5862753245,29.8541899087587,46.91533723317975,14.974369204119734,1.14318979273109,0.35703097083854857,6.306868150007082,0.4489084685849549
2020,,138467.25659199266,30.003092191719244,44.17778804584249,17.1695508324272,1.2113125814982972,0.2083501768549077,6.574621206867254,0.6552849647906243
2021,,143970.3986583529,30.77846968017238,43.38946745658326,18.109871563576508,1.1660566938756898,0.23024833675086304,5.588756212566571,0.7371300564747401
,,,,,,,,,
,,,,,,,,,
"Source: Bureau of  Energy, Ministry of  Economic  Affairs",,,,,,,,,
