110,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,STATISTICAL  YEARBOOK OF
,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,Edited 2022
,,,,,,,,,
Table 62. Quantity and value of fishery production ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,"MTs, Thousand NT$"
Year & Agency,,Total,,Farsea fisheries,,Offshore fisheries,,Coastal fisheries,
,,,,,,,,,
,,Quantity,Value,Quantity,Value,Quantity,Value,Quantity,Value
,,,,,,,,,
1946,,51474,1162665,2732,93409,21823,330470,16949,367905
1981,,911676,50351120,321567,15235194,346203,16584578,39265,1922721
1991,,1316651,83526073,714263,32203991,266945,17457328,41231,3516865
2001,,1316903.7628000001,90128416.2116,795621.8958,46659957.1381,158968.964,12193236.9908,48922.905,4315518.4407
2011,,1222654.60153,106321684.34149,702133.255,47531565.50348,163578.57262,12726058.41235,28116.62681,3594362.29655
,,,,,,,,,
2012,,1256081.53906,106174290.95913,726775.288,50139585.87541,148279.19709,13730357.62741,33027.43192,4395227.79747
2013,,1274281.94445,101649633.7604,772714.05608,43828751.41638,125021.14421,12530669.57325,27565.58138,4045555.3756
2014,,1407622.26617,104279897.13596,899039.63538,43644435.03411,139927.91048,14273949.95819,29407.35649,4077160.37192
2015,,1299261.07796,92393153.77899,825024.07079,39172115.74227,135298.34094,9997718.95886,25263.87438,3589384.95375
2016,,1003860.9703,86518574.5509,584134.93597,37714515.06948,138120.19622,10641076.9675,26214.52575,4114795.61651
2017,,1029723.06201,90656466.31571,556412.32794,36542281.20302,160140.13521,13396045.03775,27494.71225,4141172.65381
2018,,1089381.96393,89338279.42877,621317.23994,35740304.1814,153528.79238,12690103.96416,26393.11401,3605904.55943
2019,,1037512.41171,86820180.24258,560744.10415,34037868.77406,153101.83391,12300101.02253,31003.98996,4438938.07707
2020,,885040.86888,71216052.35218,431901.50367,25560837.86504,150012.91482,10317881.07469,24548.79825,3406916.02682
2021,,975999.87066,77880211.45199,531972.02733,32658441.72851,148374.37953,9796239.33265,20700.50191,3286913.8689
New Taipei City ,,33235.27767,2447504.6338,0,-,32414.50817,2132434.1683,521.8695,79390.9655
Taipei City ,,-,8608.5,-,-,-,-,-,-
Taoyuan City ,,5238.20677,577118.19351,-,-,3.9936,1027.87266,713.14767,245917.00015
Taichung City ,,2084.64915,422752.02346,-,-,1506.28742,273657.95254,561.63373,129085.75092
Tainan City ,,79210.17162,7645079.39142,-,-,1038.9594,238933.13536,76.4197,12834.55533
Kaohsiung City ,,263260.86327,18618915.7769,221874.90807,14541675.14388,9406.0937,546720.2141,2289.59758,443632.97621
Yilan County,,57286.90865,3342811.35592,2945.94489,139333.11514,45898.58876,2000133.25648,5342.565,549147.712
Hsinchu County,,2195.41854,220208.21842,-,-,22.45262,2334.30325,284.96592,50644.11517
Miaoli County,,761.62984,105128.36136,-,-,21.378,1417.9876,732.39784,86038.87376
Changhua County,,12754.7126,1122207.87115,-,-,71.3708,17668.38807,232.0508,68444.34948
Nantou County,,163.404,65416.341,-,-,-,-,-,-
Yunlin County,,49792.8364,5690970.10005,-,-,-,-,298.01865,88583.7228
Chiayi County,,55758.7791,5511689.76293,-,-,509.93773,90454.52313,65.09831,9584.45744
Pingtung County,,59780.02623,9458347.37326,21488.45859,2284302.35578,3657.84312,436862.51477,2025.52526,355312.40058
Taitung County,,5774.27777,943091.96917,8.228,3540.01472,1592.7037,204349.42723,2924.08307,423332.78022
Hualien County,,4942.33698,318886.1733,-,-,468.683,40538.317,2145.217,155456.532
Penghu County,,7911.46458,2114840.37902,-,-,3412.03968,716116.60043,1144.589,257987.01859
Keelung City ,,47809.30571,2968122.28998,-,-,47802.00683,2967259.24373,7.29888,863.04625
Hsinchu City ,,1501.262,318719.914,-,-,547.533,126331.428,908.797,146903.595
Chiayi City ,,-,-,-,-,-,-,-,-
Kinmen County,,483.207,211546.74935,-,-,-,-,317.582,153519.0425
Lienchiang County,,400.645,78654.975,-,-,-,-,109.645,30234.975
Overseas Base,,285654.48778,15689591.09899,285654.48778,15689591.09899,-,-,-,-
,,,,,,,,,
,,,,,,,,,
Note: 1. Data do not  include Kinmen County and Lienchiang County before 2010.,,,,,,,,,
"　　   2. After 2010, the quantity of the inland water aquaculture excludes Ornamental fish culture. ",,,,,,,,,
"Source: Fisheries Agency, COA, Executive Yuan",,,,,,,,,
