130,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,Edited 2022
,,,,,,,,,,,
Table 73. Number of national vessels registration and freight traffic volume,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,,"National vessels registration
(1)",,,,,,"Cargo tonnage
(1,000 MTs)",,"Ton-nautical mile
(Million ton-nautical miles)",
,,,,,,,,,,,
,,"Vessels 
(Vessels)",,"G.R.T 
(Ton)",,"D.W.T
(Ton)",,,,,
,,,,,,,,,,,
1952,,7,,2248,,1742,,2839.575,,7055.047843,
1981,,71,,612141,,883108,,23135.016,,139225.632556,
1991,,245,,5300548,,8144768,,90906.953,,532573.970492,
2001,,280,,4790827,,7472055,,101532.554,,359294.821329,
2011,,290,,2888558,,4493037,,53477,,126859,
,,,,,,,,,,,
2012,,288,,3113599,,4672453,,47727,,97230,
2013,,295,,3373753,,4977349,,49521,,107343,
2014,,304,,3635946,,5284951,,54997,,116643,
2015,,313,,3847758,,5481654,,55414,,121382,
2016,,278,,3463074,,4958454,,55472,,122086,
2017,,283,,3578719,,5120324,,51744,,111127,
2018,,267,,4173822,,6136249,,65577,,147520,
2019,,285,,4723929,,7110663,,69297,,163509,
2020,,300,,4913161,,7571142,,70317,,175580,
2021,,317,,4773765,,7228788,,65952,,154104,
,,,,,,,,,,,
,,,,,,,,,,,
Note: (1) The gross tonnage of the ships in this table is at least 100 tons.,,,,,,,,,,,
Source: Ministry of Transportation and Communications,,,,,,,,,,,
