120,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,STATISTICAL  YEARBOOK OF
,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,Edited 2022
,,,,,,,,,
Table 68. Composition of energy consumption,,,,,,,,,
,,,,,,,,,
,,,,,,,,,　％
Year,,"Quantity of domestic energy consumption
(103 KLOE)",Energy use  (By sector),,,,,,Non-energy use
,,,Energy ,Industrial ,Transportation,Agricultural ,Services ,Residential ,
,,,,,,,,,
,,,,,,,,,
1989,,34788.71820546,10.0235086427321,37.5102758324448,19.498540032255,3.20445982348679,7.03647983102697,9.33005150069191,13.3966843373624
1991,,38972.35576717,9.2147414922636,37.4768159770409,20.0519991957558,2.89419835880223,7.39210712129142,9.25296310939907,13.717174745447
2001,,65888.05271351243,8.520616601472755,33.33851479434227,18.94890494859791,1.6554762925052429,7.24822924740367,8.715110519904519,21.57314759577364
2006,,77873.17682345446,8.967678994823977,33.46153902050443,17.72877759291157,1.0754514302099674,7.668839604306735,8.171862654784277,22.925850702459048
2011,,81634.78952983068,7.810455295598842,33.08069966549927,16.288469481975145,0.8155924543298254,7.200814780657992,7.908953987189466,26.89501433474948
,,,,,,,,,
2012,,81876.68732065005,7.93786554763939,32.56283512816369,15.905360153946454,0.8735349017536158,7.048946076101589,7.6869910269289035,27.984467165466352
2013,,84575.9562991079,7.753781653518561,32.22455510241224,15.383152106454197,0.8585363852238794,6.925823352584513,7.377904741781173,29.476246658025453
2014,,85751.1024652849,8.3779861292595,31.3882747780107,15.327571815849744,0.8802390882807449,6.953886353969771,7.418390462064179,29.653651372565363
2015,,86013.26294973106,8.358004263433227,30.620010015771914,15.636649319127347,0.8627513514945123,7.017384421038233,7.390334706431761,30.11486592270301
2016,,86589.37149904735,8.259123385275508,30.717211054630422,15.980501233247027,0.8513954428130296,6.9723708069982,7.645340442838331,29.57405763419748
2017,,86038.39072335901,8.204381346925743,30.955833920522473,15.91286180252158,0.8383108559038491,7.087478727734593,7.659686782050408,29.34144656434136
2018,,87665.15093882501,8.409488928086363,31.248893342362027,15.193578490882025,0.9410561821692051,6.636522271999514,7.473261535413838,30.097199249087026
2019,,85009.79131336241,8.786284720601193,31.548413639743973,15.77471443743726,0.9806423358488094,6.8119210779351365,7.729294304258554,28.368729484175077
2020,,85451.44543191411,8.267644401376792,31.51588201182458,15.818791986503577,0.9222571180354426,6.7844190830135975,8.102735329825865,28.588270069420158
2021,,89361.75645454755,8.089868151549542,32.35916161212848,14.346001681070508,0.8810685325680436,6.399242900568322,7.946177441945832,29.97847968016927
,,,,,,,,,
,,,,,,,,,
"Source: Burau of Energy, Ministry of Economic Affairs",,,,,,,,,
