22,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,
Table 11. Educational situation,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
School Year,,"No. of schools
(Schools)","No. of teachers
(Persons)",,,"No. of students
(Persons)",,,"No. of schools
per 100Sq.Km
(Schools)","No. of students
per teacher
(Persons)","No. of students
per 1,000
population
(Persons)","Educational expenditure per student
(NT$)"
,,,,,,,,,,,,
,,,Total,Male,Female,Total,Male,Female,,,,
,,,,,,,,,,,,
1961,,3095,71098,47977,23121,2540665,1407586,1133079,8.60649512304403,35.73,226.64,704
1981,,5241,170347,87733,82614,4641975,2402005,2239970,14.486257802667865,27.25,255.14,20395
1991,,6787,219788,97702,122086,5323715,2709473,2614242,18.758012403327346,24.22,258.36,56533
2001,,8156,271625,105326,166299,5354091,2732602,2621489,22.543362494886914,19.71,238.96,113255
2011,,8100,271523,103360,168163,4860022,2515663,2344359,22.38190690414931,17.9,209.26,166410
 ,,,,,,,,,,,,
2012,,11496,301911,103282,198629,5007275,2594024,2413251,31.765728613592653,16.59,214.76,166280
2013,,11426,303113,103000,200113,4859558,2512750,2346808,31.57230472676667,16.03,207.91,172519
2014,,11078,303078,102086,200992,4729465,2441816,2287649,30.610711689403217,15.6,201.82,180035
2015,,10948,299917,100142,199775,4616078,2380564,2235514,30.247954986268734,15.39,196.5,187646
2016,,10882,294911,97749,197162,4504363,2318647,2185716,30.065605239365762,15.273635096690187,191.3508159961828,195477
2017,,10884,293554,95942,197612,4403690,2265250,2138440,30.07113098927191,15.00214963650362,186.82480975640343,204113
2018,,10902,295054,95110,199944,4325027,2223310,2101717,30.120862738427267,14.660930137961426,183.35382882107592,210228
2019,,10931,297070,94328,202742,4260337,2189788,2070549,30.200986112066452,14.34,180.5,215412
2020,,10928,299269,93656,205613,4211731,2164995,2046736,30.192697487207226,14.07,178.75700578696296,227832
2021,,10964,300585,92973,207612,4171630,2144223,2027407,30.29,13.88,178.46,…
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: Ministry of Education ,,,,,,,,,,,,
