128,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,STATISTICAL  YEARBOOK OF
,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,Edited 2022
,,,,,,,,
Table 72. Number of registered vehicles,,,,,,,,
,,,,,,,,
,,,,,,,,Cars
End of Year & District,,Total,Bus,,,Heavy truck,,
,,,,,,,,
,,,Sub-total,Private,Operating,Sub-total,Private,Operating
,,,,,,,,
1952,,10710,1623,244,1379,3699,1511,2188
1981,,5413409,18790,4726,14064,66564,34782,31782
1991,,10611036,20120,5381,14739,121161,66184,54977
2001,,17465037,24053,2580,21473,155140,81813,73327
2011,,22226684,29991,1863,28128,164221,95003,69218
,,,,,,,,
2012,,22346398,31098,1770,29328,161256,91468,69788
2013,,21562645,31960,1689,30271,162122,92449,69673
2014,,21290279,32928,1661,31267,163446,93563,69883
2015,,21400863,33890,1647,32243,165695,94866,70829
2016,,21510650,34531,1651,32880,166943,95772,71171
2017,,21704365,34188,1650,32538,167088,96685,70403
2018,,21871240,33877,1622,32255,164661,95665,68996
2019,,22111807,33288,1570,31718,165680,96119,69561
2020,,22297000,32521,1553,30968,167307,96660,70647
2021,,22597694,31936,1533,30403,170833,97723,73110
Taiwan Area ,,,,,,,,
New Taipei City ,,3294089,7228,135,7093,14886,7492,7394
Taipei City ,,1770505,6335,189,6146,7902,3885,4017
Taoyuan City ,,2124850,2252,136,2116,20852,9477,11375
Taichung City ,,2920629,3398,174,3224,21680,13552,8128
Tainan City ,,2057730,2088,71,2017,13578,8665,4913
Kaohsiung City ,,2991313,3094,181,2913,26239,11988,14251
Yilan County,,441881,325,54,271,4024,2176,1848
Hsinchu County,,555772,542,32,510,5809,2553,3256
Miaoli County,,555590,465,56,409,5088,3196,1892
Changhua County,,1340565,1079,84,995,13531,9529,4002
Nantou County,,531018,446,68,378,4703,2992,1711
Yunlin County,,722059,578,50,528,8676,5919,2757
Chiayi County,,538439,173,40,133,4784,4013,771
Pingtung County,,923872,535,48,487,6417,4677,1740
Taitung County,,238303,184,33,151,1696,1407,289
Hualien County,,331236,373,80,293,2611,1766,845
Penghu County,,118733,268,7,261,528,493,35
Keelung City ,,287860,452,11,441,2402,565,1837
Hsinchu City ,,444187,1012,43,969,2224,1486,738
Chiayi City ,,278119,715,29,686,2362,1212,1150
Kinmen & Lienchiang Area,,,,,,,,
Kinmen County,,119396,322,11,311,691,554,137
Lienchiang County,,11548,72,1,71,150,126,24
,,,,,,,,
,,,,,,,,
Note: Data do not include Kinmen County and Lienchiang County before 1997.,,,,,,,,
Source: Ministry of Transportation and Communications,,,,,,,,
