40,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,STATISTICAL  YEARBOOK OF
,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,Edited 2022
,,,,,,,,,,
Table 21. General situation of medical institutions and registered medical personnel,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,"No., Persons, Km2"
End of Year & District,,Medical institutions,,,,,,,,
,,,Hospitals,,,,Clinics,,,
,,,,"Hospitals per 10,000 population","No. of population
per hospital",Areas per hospital,,"Clinics per 10,000 population","No. of population
per cilnic ","Areas
per clinic"
,,,,,,,,,,
1954,,1000,-,-,-,-,-,-,-,-
1981,,11161,-,-,-,-,-,-,-,-
1991,,13661,821,0.4,25039,44.07,12840,6.25,1601,2.82
2001,,18265,637,0.28430433006652633,35173.57613814757,56.81010266875981,17628,7.867687174902239,1271.021556614477,2.052872441570229
2011,,21135,507,0.21830007364505838,45808.50493096647,71.38622386587771,20628,8.881842049606043,1125.8925732014736,1.7545479687802985
 ,,,,,,,,,,
2012,,21437,502,0.21530444004933647,46445.86055776892,72.0972420318725,20935,8.978881379348325,1113.7244805349892,1.7288185096727966
2013,,21713,495,0.21177814190307775,47219.22626262626,73.11679898989898,21218,9.077795181615159,1101.589075313413,1.7057599915166366
2014,,22041,497,0.2120872401445897,47150.40845070423,72.82256639839034,21544,9.193576462122818,1087.7159766060156,1.6799487328258447
2015,,22177,494,0.21028368972445768,47554.8056680162,73.27341477732793,21683,9.229921547156714,1083.4328275607618,1.6693754046949223
2016,,22384,490,0.2081579567146999,48040.44081632653,73.87156510204082,21894,9.30083735573804,1075.1720105965105,1.6532870603818397
2017,,22612,483,0.20491084320727132,48801.71221532091,74.942167494824,22129,9.388140888889662,1065.1736183288897,1.6357298974196754
2018,,22816,483,0.20475704453257995,48838.36853002071,74.942167494824,22333,9.46757572576834,1056.2366005462768,1.6207883804235883
2019,,22992,480,0.2033629366218137,49173.16875,75.41055604166667,22512,9.537721727563063,1048.4684168443496,1.6079009816986496
2020,,23132,479,0.2033000306095996,49188.38413361169,75.56798935281837,22653,9.614521071814739,1040.0934092614664,1.5978928574581732
2021,,23278,478,0.20448923167406435,48902.33054393306,75.72608138075313,22800,9.753879669808928,1025.2330701754386,1.5875906535087718
Taiwan Area ,,,,,,,,,,
New Taipei City ,,3428,54,0.13472674048860397,74224.31481481482,38.01049444444444,3374,8.417926340899072,1187.9410195613516,0.6083481624184943
Taipei City ,,3734,37,0.1465698882860157,68226.83783783784,7.3459378378378375,3697,14.645104783605404,682.8220178523127,0.07351898836894778
Taoyuan City ,,1681,34,0.14962213809155203,66835.0294117647,35.910411764705884,1647,7.247872395199594,1379.7152398299938,0.7413199757134183
Taichung City ,,3546,66,0.23458409306590747,42628.63636363636,33.55904242424242,3480,12.36897945256603,808.4741379310345,0.6364645977011494
Tainan City ,,1980,35,0.1879639689182781,53201.68571428571,62.61866,1945,10.44542627274431,957.3568123393317,1.1268139331619538
Kaohsiung City ,,3079,85,0.3096887773523504,32290.482352941177,34.72767529411765,2994,10.908331757563968,916.7304609218437,0.9859226452905813
Yilan County,,351,9,0.19969291667036468,50076.88888888889,238.1805666666667,342,7.588330833473859,1317.812865497076,6.2679096491228075
Hsinchu County,,421,10,0.17373779491990687,57558,142.75369,411,7.140623371208172,1400.4379562043796,3.473325790754258
Miaoli County,,390,14,0.2601369807015523,38441.28571428572,130.02249285714285,376,6.986536053127404,1431.3244680851064,4.8412630319148935
Changhua County,,1064,31,0.24694701791560786,40494.51612903226,34.657935483870965,1033,8.228911919574932,1215.2274927395933,1.0400735721200387
Nantou County,,430,10,0.2062293641742473,48489.7,410.6436,420,8.661633295318387,1154.5166666666667,9.777228571428571
Yunlin County,,507,16,0.23875893107626558,41883.25,80.6770375,491,7.3269146974029,1364.8309572301425,2.628986965376782
Chiayi County,,271,4,0.08108392997591807,123329,475.909175,267,5.412352325892531,1847.625468164794,7.129725468164794
Pingtung County,,656,22,0.2734821739346626,36565.454545454544,126.16365,634,7.881259012480732,1268.8328075709778,4.377918454258675
Taitung County,,164,7,0.3280440141340107,30483.714285714286,502.17894285714283,157,7.357558602719954,1359.1464968152866,22.390143949044585
Hualien County,,283,10,0.3111794322842438,32135.8,462.85713999999996,273,8.495198501359855,1177.1355311355312,16.954473992673993
Penghu County,,89,3,0.28211397404551436,35446.666666666664,42.28803333333333,86,8.087267255971412,1236.5116279069769,1.475163953488372
Keelung City ,,299,9,0.24726837135313495,40441.88888888889,14.750988888888891,290,7.967536410267682,1255.0931034482758,0.4577893103448276
Hsinchu City ,,442,8,0.17674089784376104,56580,13.019075,434,9.588193708024038,1042.9493087557603,0.23998294930875577
Chiayi City ,,402,12,0.4532971702924145,22060.583333333332,5.002133333333333,390,14.73215803450347,678.7871794871795,0.15391179487179488
Kinmen & Lienchiang Area,,,,,,,,,,
Kinmen County,,56,1,0.0706519051286218,141539,151.656,55,3.8858547820741984,2573.4363636363637,2.7573818181818184
Lienchiang County,,5,1,0.7328691828508612,13645,28.8,4,2.931476731403445,3411.25,7.2
,,"  //-->
",,,,,"  //-->
","  //-->
","  //-->
",
,,,,,,,,,,
Note: Data do not include Kinmen County and Lienchiang County before 1993.,,,,,,,,,,
Source: 1. Ministry of Health and Welfare,,,,,,,,,,
　　　　2. Ministry of the Interior,,,,,,,,,,
